epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,26.6835,2.70179,4.02603,2.3518,0.00244,0.78571,0.01745,0.00537,2.91589,4.97108,3.08267,4e-05,4e-05,4e-05
2,45.5673,2.57915,3.7985,2.61035,0.002,0.64286,0.02984,0.01042,2.76082,5.04248,2.97352,9.67e-05,9.67e-05,9.67e-05
3,65.5016,2.34448,3.93225,2.40905,0.00267,0.85714,0.02666,0.00967,2.63392,5.01841,2.77564,0.00014944,0.00014944,0.00014944
4,85.3298,2.3272,3.50908,2.144,0.00311,1,0.03772,0.01236,2.6355,4.65158,2.65825,0.00019822,0.00019822,0.00019822
5,104.271,1.81405,3.32575,1.91186,0.00289,0.92857,0.04638,0.01521,2.73454,4.92052,2.70701,0.00024304,0.00024304,0.00024304
6,123.062,2.08681,3.54284,1.98886,0.00311,1,0.06842,0.02103,2.81667,4.96274,2.96716,0.0002839,0.0002839,0.0002839
7,142.984,2.02726,3.35514,1.93072,0.00244,0.78571,0.04141,0.01105,3.00993,5.02084,3.18528,0.0003208,0.0003208,0.0003208
8,159.75,2.19251,3.34409,2.06163,0.00289,0.92857,0.05446,0.01061,3.02895,4.80298,3.17892,0.00035374,0.00035374,0.00035374
9,177.594,1.90355,3.02129,1.89871,0.00222,0.71429,0.05955,0.01113,3.0189,4.96774,3.19246,0.00038272,0.00038272,0.00038272
10,203.445,1.9691,3.29633,1.8361,0.00178,0.57143,0.11538,0.04804,2.96093,5.06213,3.16026,0.00040774,0.00040774,0.00040774
11,224.86,2.19918,3.43192,1.96984,0.00267,0.85714,0.06178,0.02945,2.73684,5.19237,2.92417,0.0004288,0.0004288,0.0004288
12,241.651,1.67634,2.79615,1.73571,0.00311,1,0.05363,0.02052,2.75245,5.21336,2.88311,0.0004459,0.0004459,0.0004459
13,261.349,1.64076,2.99927,1.82273,0.00311,1,0.13322,0.04114,2.89454,5.03709,2.92408,0.00045904,0.00045904,0.00045904
14,278.269,1.86623,4.31656,2.09325,0.00289,0.92857,0.08603,0.02896,2.67907,5.09054,2.83191,0.00046822,0.00046822,0.00046822
15,296.013,1.99289,2.9618,1.93126,0.00311,1,0.06431,0.01725,2.64323,5.40769,2.817,0.00047344,0.00047344,0.00047344
16,316.774,1.99194,3.12021,2.09256,0.00267,0.85714,0.01942,0.00518,3.02814,5.6647,3.18202,0.0004747,0.0004747,0.0004747
17,337.487,1.63309,2.69655,1.78625,0.00267,0.85714,0.03092,0.00747,2.89458,5.0316,2.95742,0.000472,0.000472,0.000472
18,356.126,1.71518,3.10929,1.88185,0.00289,0.92857,0.02229,0.00583,2.91998,4.90973,3.04253,0.00046534,0.00046534,0.00046534
19,374.318,1.78778,3.12426,1.86419,0.00311,1,0.02119,0.00739,2.61179,5.49536,2.86457,0.00045472,0.00045472,0.00045472
20,392.235,1.89029,2.94625,1.97178,0.00289,0.92857,0.03076,0.00655,2.83026,5.33274,2.89532,0.00044014,0.00044014,0.00044014
21,411.036,2.07799,3.64897,2.24924,0.00289,0.92857,0.04099,0.01118,2.75015,5.20513,2.8838,0.0004216,0.0004216,0.0004216
22,433.955,1.90012,3.36001,2.20805,0.00311,1,0.05764,0.01446,2.87314,4.59984,2.91799,0.0003991,0.0003991,0.0003991
23,455.62,1.76994,3.09158,1.81753,0.00311,1,0.0849,0.0413,2.62968,4.57669,2.82776,0.00037264,0.00037264,0.00037264
24,474.88,1.74235,3.13072,1.81825,0.20779,0.14286,0.15209,0.08068,2.45863,4.45462,2.73518,0.00034222,0.00034222,0.00034222
25,495.857,1.98381,3.22988,2.06327,0.62484,0.14286,0.20007,0.09451,2.27342,4.10032,2.55681,0.00030784,0.00030784,0.00030784
26,513.975,1.61008,2.97176,1.73865,0.66021,0.14286,0.17482,0.07783,2.29495,4.04289,2.54834,0.0002695,0.0002695,0.0002695
27,532.748,1.70865,3.17014,1.962,0.49832,0.14286,0.17932,0.07089,2.34323,4.03739,2.6102,0.0002272,0.0002272,0.0002272
28,551.829,1.7987,3.05467,1.83077,0.29048,0.21429,0.18,0.0685,2.32559,4.14501,2.63119,0.00018094,0.00018094,0.00018094
29,572.302,1.65938,2.7755,2.078,0.29048,0.21429,0.18,0.0685,2.32559,4.14501,2.63119,0.00013072,0.00013072,0.00013072
30,590.106,1.40171,3.15417,1.66501,0.31783,0.21429,0.18753,0.06995,2.36158,4.03292,2.6227,7.654e-05,7.654e-05,7.654e-05
